Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
24,"Mar 24, 2017 10:37:10",27.25,0.187,27.063,False,0,0,0,Program has started
24,"Mar 24, 2017 10:37:14",27.25,0.125,27.125,False,0,0,0
24,"Mar 24, 2017 10:37:48",28.812,-0.062,28.874,False,0,0,0
24,"Mar 24, 2017 10:39:01",31.687,-0.75,32.437,False,0,0,0,Program has started
24,"Mar 24, 2017 10:40:01",34.0,-1.187,35.187,False,0,0,0
24,"Mar 24, 2017 10:40:32",35.25,-1.437,36.687,True,1939.825,0.001,0
24,"Mar 24, 2017 10:40:35",35.375,-1.437,36.812,True,1946.434,0.003,0
24,"Mar 24, 2017 10:40:37",35.812,-1.5,37.312,True,1972.872,0.004,0
24,"Mar 24, 2017 10:40:40",36.625,-1.5,38.125,True,2015.859,0.006,0
24,"Mar 24, 2017 10:40:43",37.5,-1.5,39.0,True,2062.125,0.007,0
24,"Mar 24, 2017 10:40:45",38.5,-1.562,40.062,True,2118.278,0.009,0
24,"Mar 24, 2017 10:40:48",39.437,-1.562,40.999,True,2167.822,0.011,0
24,"Mar 24, 2017 10:40:51",40.312,-1.562,41.874,True,2214.088,0.012,0
24,"Mar 24, 2017 10:40:53",41.125,-1.625,42.75,True,2260.406,0.014,0
24,"Mar 24, 2017 10:40:56",41.937,-1.625,43.562,True,2303.341,0.016,0
24,"Mar 24, 2017 10:40:59",42.625,-1.687,44.312,True,2342.997,0.017,0
24,"Mar 24, 2017 10:41:01",43.25,-1.687,44.937,True,2376.044,0.019,0
24,"Mar 24, 2017 10:41:04",43.812,-1.687,45.499,True,2405.76,0.021,0
24,"Mar 24, 2017 10:41:07",44.312,-1.687,45.999,True,2432.197,0.023,0
24,"Mar 24, 2017 10:41:09",44.75,-1.75,46.5,True,2458.688,0.025,0
24,"Mar 24, 2017 10:41:12",45.187,-1.75,46.937,True,2481.794,0.026,0
24,"Mar 24, 2017 10:41:16",45.5,-1.75,47.25,True,2498.344,0.029,0
24,"Mar 24, 2017 10:41:18",45.875,-1.812,47.687,True,2521.45,0.031,0
24,"Mar 24, 2017 10:41:21",46.125,-1.812,47.937,True,2534.669,0.033,0
24,"Mar 24, 2017 10:41:24",46.312,-1.812,48.124,True,2544.556,0.034,0
24,"Mar 24, 2017 10:41:26",46.5,-1.812,48.312,True,2554.497,0.036,0
24,"Mar 24, 2017 10:41:29",46.562,-1.875,48.437,True,2561.106,0.038,0
24,"Mar 24, 2017 10:41:32",46.687,-1.875,48.562,True,2567.716,0.04,0
24,"Mar 24, 2017 10:41:34",46.75,-1.875,48.625,True,2571.047,0.042,0
24,"Mar 24, 2017 10:41:37",46.75,-1.875,48.625,True,2571.047,0.044,0
24,"Mar 24, 2017 10:41:40",46.75,-1.875,48.625,True,2571.047,0.046,0
24,"Mar 24, 2017 10:41:42",46.687,-1.875,48.562,True,2567.716,0.048,0
24,"Mar 24, 2017 10:41:45",46.625,-1.937,48.562,True,2567.716,0.05,0
24,"Mar 24, 2017 10:41:48",46.562,-1.937,48.499,True,2564.385,0.052,0
24,"Mar 24, 2017 10:41:50",46.437,-1.937,48.374,True,2557.775,0.053,0
24,"Mar 24, 2017 10:41:53",46.312,-1.937,48.249,True,2551.166,0.055,0
24,"Mar 24, 2017 10:41:56",46.187,-2.0,48.187,True,2547.888,0.057,0
24,"Mar 24, 2017 10:41:58",46.0,-1.937,47.937,True,2534.669,0.059,0
24,"Mar 24, 2017 10:42:01",45.875,-2.0,47.875,True,2531.391,0.061,0
24,"Mar 24, 2017 10:42:04",45.687,-2.0,47.687,True,2521.45,0.063,0
24,"Mar 24, 2017 10:42:06",45.5,-2.0,47.5,True,2511.563,0.065,0
24,"Mar 24, 2017 10:42:09",45.312,-2.0,47.312,True,2501.622,0.067,0
24,"Mar 24, 2017 10:42:12",45.062,-2.0,47.062,True,2488.403,0.068,0
24,"Mar 24, 2017 10:42:14",44.875,-2.062,46.937,True,2481.794,0.07,0
24,"Mar 24, 2017 10:42:17",44.625,-2.062,46.687,True,2468.575,0.072,0
24,"Mar 24, 2017 10:42:20",44.375,-2.062,46.437,True,2455.356,0.074,0
24,"Mar 24, 2017 10:42:22",44.125,-2.062,46.187,True,2442.138,0.076,0
24,"Mar 24, 2017 10:42:25",43.875,-2.062,45.937,True,2428.919,0.078,0
24,"Mar 24, 2017 10:42:28",43.625,-2.062,45.687,True,2415.7,0.079,0
24,"Mar 24, 2017 10:42:30",43.375,-2.062,45.437,True,2402.481,0.081,0
24,"Mar 24, 2017 10:42:33",43.187,-2.062,45.249,True,2392.541,0.083,0
24,"Mar 24, 2017 10:42:36",42.875,-2.062,44.937,True,2376.044,0.085,0
24,"Mar 24, 2017 10:42:38",42.625,-2.125,44.75,True,2366.156,0.086,0
