Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
5,"Apr 5, 2017 08:29:56",22.312,21.625,0.687,True,23.186,0.0,0,Program has started
5,"Apr 5, 2017 08:29:59",22.375,21.625,0.75,True,25.313,0.0,0
5,"Apr 5, 2017 08:30:01",22.312,21.625,0.687,True,23.186,0.0,0
5,"Apr 5, 2017 08:30:05",22.375,21.625,0.75,True,25.313,0.0,0
5,"Apr 5, 2017 08:30:08",22.312,21.625,0.687,True,23.186,0.0,0
5,"Apr 5, 2017 08:30:20",22.312,21.625,0.687,True,23.186,0.0,0
5,"Apr 5, 2017 08:30:22",22.375,21.625,0.75,True,25.313,0.0,0
5,"Apr 5, 2017 08:30:25",22.312,21.625,0.687,True,23.186,0.0,0
5,"Apr 5, 2017 08:30:28",22.312,21.625,0.687,True,23.186,0.0,0
5,"Apr 5, 2017 08:30:30",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:35",22.375,21.687,0.688,True,23.22,0.0,0
5,"Apr 5, 2017 08:30:38",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:40",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:43",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:46",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:48",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:51",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:54",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:56",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:30:59",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:31:02",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:31:05",22.312,21.75,0.562,True,18.968,0.0,0
5,"Apr 5, 2017 08:31:08",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:31:11",22.312,21.687,0.625,True,21.094,0.0,0
5,"Apr 5, 2017 08:31:13",22.312,21.75,0.562,True,18.968,0.0,0
5,"Apr 5, 2017 08:31:22",22.312,21.75,0.562,False,0,0,0.0
5,"Apr 5, 2017 08:31:32",22.312,21.75,0.562,False,0,0,0
5,"Apr 5, 2017 08:32:03",22.25,21.75,0.5,False,0,0,0,Program has started
5,"Apr 5, 2017 08:32:23",22.25,21.812,0.438,False,0,0,0
5,"Apr 5, 2017 08:32:25",22.25,21.812,0.438,False,0,0,0
5,"Apr 5, 2017 08:32:35",22.25,21.812,0.438,False,0,0,0
