Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
25,"Mar 25, 2017 00:00:45",0.437,0.25,0.187,False,0,0,0
25,"Mar 25, 2017 00:01:45",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:02:45",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:03:46",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:04:46",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:05:46",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:06:46",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:07:46",0.437,0.25,0.187,False,0,0,0
25,"Mar 25, 2017 00:08:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:09:46",0.437,0.25,0.187,False,0,0,0
25,"Mar 25, 2017 00:10:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:11:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:12:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:13:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:14:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:15:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:16:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:17:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:18:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:19:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:20:46",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:21:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:22:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:23:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:24:46",0.437,0.25,0.187,False,0,0,0
25,"Mar 25, 2017 00:25:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:26:46",0.437,0.312,0.125,False,0,0,0
25,"Mar 25, 2017 00:27:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:28:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:29:46",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:30:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:31:46",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:32:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:33:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:34:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:35:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:36:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:37:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:38:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:39:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:40:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:41:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:42:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:43:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:44:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:45:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:46:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:47:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:48:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:49:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:50:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:51:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:52:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:53:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:54:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:55:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:56:47",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:57:47",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 00:58:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 00:59:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:00:48",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 01:01:48",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 01:02:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:03:48",0.375,0.312,0.063,False,0,0,0
25,"Mar 25, 2017 01:04:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:05:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:06:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:07:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:08:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:09:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:10:48",0.375,0.25,0.125,False,0,0,0
25,"Mar 25, 2017 01:11:48",0.375,0.25,0.125,False,0,0,0
