Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
22,"Mar 22, 2017 08:23:07",22.0,21.937,0.063,True,3.331,0.0,0,Program has started
22,"Mar 22, 2017 08:23:10",22.062,21.937,0.125,True,6.609,0.0,0
22,"Mar 22, 2017 08:23:13",22.062,21.937,0.125,True,6.609,0.001,0
22,"Mar 22, 2017 08:25:13",21.937,21.875,0.062,False,0,0,0,Program has started
22,"Mar 22, 2017 08:26:12",21.937,21.875,0.062,False,0,0,0
22,"Mar 22, 2017 08:26:26",21.937,21.937,0.0,False,0,0,0
22,"Mar 22, 2017 08:26:35",21.937,21.875,0.062,False,0,0,0
22,"Mar 22, 2017 08:27:35",21.937,21.875,0.062,False,0,0,0
22,"Mar 22, 2017 08:28:35",21.937,21.875,0.062,False,0,0,0
22,"Mar 22, 2017 08:29:35",21.875,21.875,0.0,False,0,0,0
22,"Mar 22, 2017 08:30:35",21.875,21.875,0.0,False,0,0,0
22,"Mar 22, 2017 08:31:35",21.875,21.875,0.0,False,0,0,0
22,"Mar 22, 2017 08:34:39",21.812,21.937,0.125,False,0,0,0,Program has started
22,"Mar 22, 2017 09:32:22",21.375,21.5,0.125,True,-6.609,-0.0,0,Program has started
22,"Mar 22, 2017 09:32:25",21.375,21.562,0.187,True,-9.888,-0.0,0
22,"Mar 22, 2017 09:32:28",21.437,21.562,0.125,True,-6.609,-0.001,0
22,"Mar 22, 2017 09:32:31",21.437,21.562,0.125,True,-6.609,-0.001,0
22,"Mar 22, 2017 09:32:33",21.375,21.562,0.187,True,-9.888,-0.001,0
22,"Mar 22, 2017 09:32:36",21.437,21.562,0.125,True,-6.609,-0.002,0
22,"Mar 22, 2017 09:32:39",21.437,21.562,0.125,True,-6.609,-0.002,0
22,"Mar 22, 2017 09:32:42",21.437,21.625,0.188,True,-9.94,-0.002,0
