Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
25,"Mar 25, 2017 18:35:00",23.437,21.5,1.937,True,102.419,2.456,0
25,"Mar 25, 2017 18:35:02",23.437,21.5,1.937,True,102.419,2.456,0
25,"Mar 25, 2017 18:35:05",23.437,21.5,1.937,True,102.419,2.456,0
25,"Mar 25, 2017 18:35:08",23.375,21.5,1.875,True,99.141,2.456,0
25,"Mar 25, 2017 18:35:11",23.375,21.5,1.875,True,99.141,2.456,0
25,"Mar 25, 2017 18:35:14",23.312,21.5,1.812,True,95.81,2.456,0
25,"Mar 25, 2017 18:35:16",23.25,21.562,1.688,True,89.253,2.456,0
25,"Mar 25, 2017 18:35:19",23.25,21.5,1.75,True,92.531,2.456,0
25,"Mar 25, 2017 18:35:22",23.187,21.5,1.687,True,89.2,2.456,0
25,"Mar 25, 2017 18:35:25",23.187,21.5,1.687,True,89.2,2.456,0
25,"Mar 25, 2017 18:35:27",23.187,21.5,1.687,True,89.2,2.456,0
25,"Mar 25, 2017 18:35:31",23.187,21.5,1.687,True,89.2,2.456,0
