Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
14,"Mar 14, 2017 12:27:53",20.0,22.0,2.0,0,0,0,0Program has started
14,"Mar 14, 2017 12:27:54",20.0,22.0,2.0,0,0,0,0
14,"Mar 14, 2017 12:27:55",20.0,22.0,2.0,0,0,0,0
14,"Mar 14, 2017 12:27:56",20.0,22.0,2.0,0,0,0,0
14,"Mar 14, 2017 12:28:14",20.0,22.0,2.0,0,0,0,0,Program has started
14,"Mar 14, 2017 12:28:15",20.0,22.0,2.0,0,0,0,0
14,"Mar 14, 2017 12:28:16",20.0,22.0,2.0,0,0,0,0
14,"Mar 14, 2017 12:28:17",20.0,22.0,2.0,0,0,0,0
14,"Mar 14, 2017 12:29:07",20.0,22.0,2.0,1,-105.75,-0.0,0,Program has started
14,"Mar 14, 2017 12:29:08",20.0,22.0,2.0,1,-105.75,-0.03,0
14,"Mar 14, 2017 12:29:09",20.0,22.0,2.0,1,-105.75,-0.09,0
14,"Mar 14, 2017 12:29:10",20.0,22.0,2.0,1,-105.75,-0.18,0
14,"Mar 14, 2017 12:29:11",20.0,22.0,2.0,1,-105.75,-0.3,0
14,"Mar 14, 2017 12:29:12",20.0,22.0,2.0,1,-105.75,-0.45,0
14,"Mar 14, 2017 12:29:13",20.0,22.0,2.0,1,-105.75,-0.63,0
14,"Mar 14, 2017 12:29:14",20.0,22.0,2.0,1,-105.75,-0.84,0
14,"Mar 14, 2017 12:29:16",20.0,22.0,2.0,1,-105.75,-1.081,0
14,"Mar 14, 2017 12:29:17",20.0,22.0,2.0,1,-105.75,-1.351,0
14,"Mar 14, 2017 12:29:18",20.0,22.0,2.0,1,-105.75,-1.652,0
14,"Mar 14, 2017 12:29:19",20.0,22.0,2.0,1,-105.75,-1.983,0
14,"Mar 14, 2017 12:29:20",20.0,22.0,2.0,1,-105.75,-2.344,0
14,"Mar 14, 2017 12:29:21",20.0,22.0,2.0,1,-105.75,-2.735,0
14,"Mar 14, 2017 12:29:22",20.0,22.0,2.0,1,-105.75,-3.157,0
14,"Mar 14, 2017 12:29:23",20.0,22.0,2.0,1,-105.75,-3.609,0
14,"Mar 14, 2017 12:29:24",20.0,22.0,2.0,1,-105.75,-4.091,0
14,"Mar 14, 2017 12:29:25",20.0,22.0,2.0,1,-105.75,-4.603,0
14,"Mar 14, 2017 12:29:26",20.0,22.0,2.0,1,-105.75,-5.145,0
14,"Mar 14, 2017 12:29:27",20.0,22.0,2.0,1,-105.75,-5.717,0
14,"Mar 14, 2017 12:29:28",20.0,22.0,2.0,1,-105.75,-6.319,0
14,"Mar 14, 2017 12:29:29",20.0,22.0,2.0,1,-105.75,-6.951,0
14,"Mar 14, 2017 12:29:30",20.0,22.0,2.0,1,-105.75,-7.613,0
14,"Mar 14, 2017 12:29:31",20.0,22.0,2.0,1,-105.75,-8.305,0
14,"Mar 14, 2017 12:29:32",20.0,22.0,2.0,1,-105.75,-9.027,0
14,"Mar 14, 2017 12:29:33",20.0,22.0,2.0,1,-105.75,-9.78,0
14,"Mar 14, 2017 12:29:34",20.0,22.0,2.0,1,-105.75,-10.563,0
14,"Mar 14, 2017 12:29:35",20.0,22.0,2.0,1,-105.75,-11.376,0
14,"Mar 14, 2017 12:29:36",20.0,22.0,2.0,1,-105.75,-12.219,0
14,"Mar 14, 2017 12:29:37",20.0,22.0,2.0,1,-105.75,-13.092,0
14,"Mar 14, 2017 12:29:38",20.0,22.0,2.0,1,-105.75,-13.995,0
14,"Mar 14, 2017 12:29:39",20.0,22.0,2.0,1,-105.75,-14.928,0
14,"Mar 14, 2017 12:29:40",20.0,22.0,2.0,1,-105.75,-15.891,0
14,"Mar 14, 2017 12:29:41",20.0,22.0,2.0,1,-105.75,-16.885,0
14,"Mar 14, 2017 12:29:42",20.0,22.0,2.0,1,-105.75,-17.908,0
14,"Mar 14, 2017 12:29:43",20.0,22.0,2.0,1,-105.75,-18.962,0
14,"Mar 14, 2017 12:29:44",20.0,22.0,2.0,1,-105.75,-20.046,0
